visual_type,visual_root_id,dn_type,dn_root_id,hops,path_strength,min_edge_weight,path,edge_weights
T4a,720575940637988954,DNb03,720575940611016910,3,0.0004687833497175753,0.04249839021249195,T4a -> LPi14 -> H2 -> DNb03,"0.15048544,0.07330021,0.04249839"
T4a,720575940637988954,DNb03,720575940627997050,3,0.00045931297901621014,0.04163983687486585,T4a -> LPi14 -> H2 -> DNb03,"0.15048544,0.07330021,0.04163984"
T4a,720575940637988954,DNp15,720575940623431351,3,0.00040959353283404303,0.037132431852328826,T4a -> LPi14 -> H2 -> DNp15,"0.15048544,0.07330021,0.03713243"
T4a,720575940637988954,DNp15,720575940616293855,5,4.491526527225847e-07,0.024039493453530802,T4a -> LPi14 -> H2 -> CB0268 -> PS234 -> DNp15,"0.15048544,0.07330021,0.02403949,0.02590674,0.06538171"
T4a,720575940637988954,DNa16,720575940632962786,5,2.9856968244564877e-07,0.024039493453530802,T4a -> LPi14 -> H2 -> CB0268 -> PS234 -> DNa16,"0.15048544,0.07330021,0.02403949,0.02590674,0.04346183"
T4a,720575940637988954,DNg41,720575940622037926,3,0.00023675926753412895,0.021463833440652502,T4a -> LPi14 -> H2 -> DNg41,"0.15048544,0.07330021,0.02146383"
T4a,720575940637988954,DNa02,720575940629327659,5,7.489909504395737e-07,0.03593140078070007,T4a -> LPi14 -> Am1 -> LPi15 -> HSS -> DNa02,"0.15048544,0.06622201,0.05190589,0.03593140,0.04029851"
T4a,720575940637988954,DNp18,720575940618440000,5,5.270677058648852e-07,0.028358208955223882,T4a -> LPi14 -> Am1 -> LPi15 -> HSS -> DNp18,"0.15048544,0.06622201,0.05190589,0.03593140,0.02835821"
T4a,720575940631002199,DNae002,720575940620380449,5,2.6126226595803604e-07,0.007047707558859975,T4a -> HSS -> CB0268 -> VCH -> LPT22 -> DNae002,"0.15463918,0.06343284,0.14293405,0.00704771,0.02643988"
T4a,720575940631002199,DNae002,720575940620380449,5,2.640763454535828e-07,0.008837947938962922,T4a -> HSS -> CB0268 -> DCH -> LPT22 -> DNae002,"0.15463918,0.06343284,0.11520861,0.00883795,0.02643988"
T4a,720575940631002199,DNa02,720575940604737708,5,1.1533380115737593e-06,0.03272032481490327,T4a -> HSS -> CB0268 -> PS047a -> LAL046 -> DNa02,"0.15463918,0.06343284,0.05814266,0.03272032,0.06180312"
T4a,720575940631002199,DNae002,720575940620380449,5,9.155363597028812e-07,0.03272032481490327,T4a -> HSS -> CB0268 -> PS047a -> LAL046 -> DNae002,"0.15463918,0.06343284,0.05814266,0.03272032,0.04906021"
T4a,720575940631002199,DNa16,720575940621519130,5,8.025805750642141e-07,0.03272032481490327,T4a -> HSS -> CB0268 -> PS047a -> LAL046 -> DNa16,"0.15463918,0.06343284,0.05814266,0.03272032,0.04300733"
T4a,720575940631002199,DNa16,720575940632962786,5,8.853989058298292e-07,0.031048483401003104,T4a -> HSS -> CB0268 -> PS047a -> LAL126 -> DNa16,"0.15463918,0.06343284,0.05814266,0.03104848,0.05000000"
T4a,720575940631002199,DNg41,720575940622037926,4,1.4847458574684827e-05,0.026032959159302604,T4a -> HSS -> CB0268 -> PS047a -> DNg41,"0.15463918,0.06343284,0.05814266,0.02603296"
T4a,720575940631002199,DNg41,720575940622037926,5,8.494132775602353e-07,0.026032959159302604,T4a -> HSS -> CB0268 -> PS234 -> PS047a -> DNg41,"0.15463918,0.06343284,0.03768506,0.08826584,0.02603296"
T4a,720575940631002199,DNp15,720575940623431351,4,3.1860653171183e-05,0.03768506056527591,T4a -> HSS -> CB0268 -> PS234 -> DNp15,"0.15463918,0.06343284,0.03768506,0.08618899"
T4a,720575940631002199,DNa16,720575940621519130,4,1.497066835754382e-05,0.03768506056527591,T4a -> HSS -> CB0268 -> PS234 -> DNa16,"0.15463918,0.06343284,0.03768506,0.04049844"
T4a,720575940612923762,DNae002,720575940620380449,5,3.843511233598684e-07,0.007047707558859975,T4a -> LPi14 -> H2 -> VCH -> LPT22 -> DNae002,"0.28813559,0.07330021,0.09766044,0.00704771,0.02643988"
T4a,720575940612923762,DNae002,720575940620380449,5,4.1206898074285236e-07,0.008837947938962922,T4a -> LPi14 -> H2 -> DCH -> LPT22 -> DNae002,"0.28813559,0.07330021,0.08349431,0.00883795,0.02643988"
T4a,720575940612923762,DNb03,720575940611016910,3,0.0008975829910940124,0.04249839021249195,T4a -> LPi14 -> H2 -> DNb03,"0.28813559,0.07330021,0.04249839"
T4a,720575940612923762,DNb03,720575940627997050,3,0.0008794500013749414,0.04163983687486585,T4a -> LPi14 -> H2 -> DNb03,"0.28813559,0.07330021,0.04163984"
T4a,720575940612923762,DNp15,720575940623431351,3,0.0007842518053498189,0.037132431852328826,T4a -> LPi14 -> H2 -> DNp15,"0.28813559,0.07330021,0.03713243"
T4a,720575940612923762,DNp15,720575940616293855,5,8.599959485153045e-07,0.024039493453530802,T4a -> LPi14 -> H2 -> CB0268 -> PS234 -> DNp15,"0.28813559,0.07330021,0.02403949,0.02590674,0.06538171"
T4a,720575940612923762,DNa16,720575940632962786,5,5.716736073945664e-07,0.024039493453530802,T4a -> LPi14 -> H2 -> CB0268 -> PS234 -> DNa16,"0.28813559,0.07330021,0.02403949,0.02590674,0.04346183"
T4a,720575940612923762,DNg41,720575940622037926,3,0.000453324742976774,0.021463833440652502,T4a -> LPi14 -> H2 -> DNg41,"0.28813559,0.07330021,0.02146383"
T4a,720575940612923762,DNa02,720575940629327659,5,1.4340985830723826e-06,0.03593140078070007,T4a -> LPi14 -> Am1 -> LPi15 -> HSS -> DNa02,"0.28813559,0.06622201,0.05190589,0.03593140,0.04029851"
T4a,720575940612923762,DNp18,720575940618440000,5,1.0091804843842691e-06,0.028358208955223882,T4a -> LPi14 -> Am1 -> LPi15 -> HSS -> DNp18,"0.28813559,0.06622201,0.05190589,0.03593140,0.02835821"
T4a,720575940612670361,DNae002,720575940620380449,5,6.868389842808467e-07,0.007047707558859975,T4a -> HSE -> CB0268 -> VCH -> LPT22 -> DNae002,"0.19101124,0.13500597,0.14293405,0.00704771,0.02643988"
T4a,720575940612670361,DNae002,720575940620380449,5,6.942369890991826e-07,0.008837947938962922,T4a -> HSE -> CB0268 -> DCH -> LPT22 -> DNae002,"0.19101124,0.13500597,0.11520861,0.00883795,0.02643988"
T4a,720575940612670361,DNa02,720575940604737708,5,3.0320394929478587e-06,0.03272032481490327,T4a -> HSE -> CB0268 -> PS047a -> LAL046 -> DNa02,"0.19101124,0.13500597,0.05814266,0.03272032,0.06180312"
T4a,720575940612670361,DNae002,720575940620380449,5,2.4068767108967536e-06,0.03272032481490327,T4a -> HSE -> CB0268 -> PS047a -> LAL046 -> DNae002,"0.19101124,0.13500597,0.05814266,0.03272032,0.04906021"
